title,views,date_time,like_button,description
Binary Trees Explained in 4 Minutes!,1.7K views,5 days ago,98,"Struggling to understand Binary Trees? 🌳 Don’t worry! In just 4 minutes, we’ll break it down in the easiest way possible. Learn the fundamentals, key concepts, and tricks to understand Binary Trees quickly and efficiently. Whether you're preparing for coding interviews or diving into data str"
Dynamic Programming Explained in 6 Minutes,4.3K views,1 month ago,123,"Struggling with Dynamic Programming? 🤯 Don’t worry! In just 6 minutes, we’ll break it down for you in the simplest way possible. Learn the key concepts, approach, and tricks to master DP efficiently. Whether you're preparing for coding interviews or competitive programming, this "
I went to IIT Delhi to meet Gate AIR 20 | Crack GATE with GeeksforGeeks!,1.8K views,1 month ago,46,"Cracking GATE with an AIR 20 is no easy feat! 🚀 Join us as we dive into the inspiring journey of a top ranker who made it to IIT Delhi. From study strategies to time management and expert tips, get insights that can help YOU ace GATE!"
Struggling with GATE? We can help boost your rank!,941 views,1 month ago,19,"Crack GATE exam with expert guidance!
Want structured learning & live mentorship? Join the GeeksforGeeks GATE programs for expert guidance & exam-focused prep!"
What do Software Engineers Really Do? | Are software engineering jobs really for you?,9.3K views,1 month ago,357,"What do software engineers really do? Is it just coding, or is there more to the job? 
In this video, we break down the reality of software engineering job. 
"
Get 55+ Marks Easily in GATE CS 2026 using this strategy,35K views,1 month ago,1.1K,"Are you preparing for GATE CS and aiming to score 55+ marks? 🚀 Follow these proven strategies to ace the exam effortlessly:
"
What is Machine Learning? | Lecture 1 | Free Video,3K views,1 month ago,59,"Welcome to the first video of GeeksforGeeks' comprehensive Machine Learning Youtube Course! 🚀
"
A Day in the Life at IIT: Struggles & Successes 🎓 || Meet Apoorva GATE AIR 20,7K views,1 month ago,175,Watch Full Video: - 
DSA was hard until i learned these 10 Patterns | Master DSA Now,15K views,1 month ago,999,"These 10 Patterns Are All You Need to Solve DSA Questions

This video explores the 10 most essential problem-solving techniques that form the founda"
You're missing out by not starting the Three 90 Challenge!,442K views,1 month ago,107,"The best version of you is just 90 days away💪

In the GfG Three 90 Challenge, we bring you the ultimate preparation toolkit to ace your codi"
Which Programming Language should you learn in 2025 ? | *Free Resources Inside*,1.8K views,1 month ago,79,Start the challenge now: 
Your next 90 Days with Three 90 Challenge! | GeeksforGeeks,37K views,2 months ago,101,"Great coders are never made in a day, they are moulded over a period of errors, and with consistent efforts. So don't waste another day, choose a Tech of your choice and master it in the next 90 days!
"
How to Crack Gate CSE Exam in Just 30 Days ? | Ultimate Roadmap | ‪@GfG_GATE‬,1.4K views,2 months ago,75,Start Learning Now: 
Three 90 Challenge Winners | GeeksforGeeks,613 views,2 months ago,8,Start the challenge now: 
Three 90 Challenge Winners | GeeksforGeeks,571 views,2 months ago,13,Start the challenge now: 
Three 90 Challenge by GeeksforGeeks | Commonly Asked Questions | FAQs,793 views,2 months ago,12,"Think it's impossible to learn, grow, and earn your fees back? Think again! 💡

Welcome to the Three 90 Challenge by GeeksforGeeks!"
Three 90 Challenge Winners | GeeksforGeeks,1.1K views,2 months ago,16,Start the challenge now: 
Three 90 Challenge Winners | Real Stories | GeeksforGeeks,3.2K views,2 months ago,58,Start the challenge now: 
Ready to take on the challenge? | 90% Refund Challenge by GeeksforGeeks,193K views,2 months ago,76,Start the challenge now: 
"I went to the House of a Microsoft Software Engineer | Resume Revealed |SDE Roadmap, Salary, Perks",5.2K views,2 months ago,173,Found the video inspiring? Now accelerate your tech journey with GeeksforGeeks! Use Code: GFGYT30 and get 30% Off on all GeeksforGeeks Courses. Click here to grab your discount now: 
The Only Cyber Security Roadmap you need for 2025 |,9.9K views,2 months ago,480,https://www.geeksforgeeks.org/cyber-s...
GeeksforGeeks is going to rock the world of Education with this move!,1.8K views,2 months ago,49,Full podcast out now! Watch now: 
How to get a job in MAANG as a College Student ? | Tips and Hacks | Roadmap,5.2K views,2 months ago,160,"How to Get a Job in MAANG as a College Student? | Tips, Hacks & Roadmap | Podcast with Google SDE 1 and Microsoft SDE 2
"
Get your Dream Internship in the First Year of College | Step by Step Guide,1K views,2 months ago,53,"How to get an Internship in 1st year of College?

Can You Follow the 1st-Year Internship Roadmap? 🤔 In this video, we lay out a roadmap fo"
GfG Practice Channel Now Home to GfG 160 Challenge New Videos!,870 views,2 months ago,28,"🚨 Important Update for GfG Followers! 🚨

Starting now, all GfG160 practice videos will be uploaded exclusively on the GFG Practice C"
GfG 160 | Day- 42 | Pair with given sum - 2Sum | 160 Days Daily DSA Problem Solving | GeeksforGeeks,763 views,2 months ago,20,Welcome to the daily solving of our GfG 160 Problem of Day 42 with Yash Dwivedi. We will discuss the entire problem step-by-step and work towards developing an optimized solution. This will not only help you brush up on your concepts of Data Structures and Algorithms but will also hel
These 7 AI Projects will give you an UNFAIR Advantage  | Get Placed,1.3K views,2 months ago,76,"These AI Projects will give you UNFAIR Advantage in job search.
Start Learning Now: "
GfG 160 | Day- 41 | Set Matrix Zeroes | 160 Days Daily DSA Problem Solving | GeeksforGeeks,582 views,2 months ago,16,Welcome to the daily solving of our GfG 160 Problem of Day 41 with Yash Dwivedi. We will discuss the entire problem step-by-step and work towards developing an optimized solution. This will not only help you brush up on your concepts of Data Structures and Algorithms but will also hel
GfG 160 | Day- 40 | Search in a Sorted Matrix | 160 Days Daily DSA Problem Solving | GeeksforGeeks,591 views,2 months ago,14,Welcome to the daily solving of our GfG 160 Problem of Day 40 with Yash Dwivedi. We will discuss the entire problem step-by-step and work towards developing an optimized solution. This will not only help you brush up on your concepts of Data Structures and Algorithms but will also hel
FREE GATE Test Series 2025 by GeeksforGeeks,2.9K views,2 months ago,31,Start your Gate 2025 Preparation now: 
GfG 160 | Day- 39 | Search in a row-wise sorted | 160 Days Daily DSA Problem Solving | GeeksforGeeks,530 views,2 months ago,16,Welcome to the daily solving of our GfG 160 Problem of Day 39 with Yash Dwivedi. We will discuss the entire problem step-by-step and work towards developing an optimized solution. This will not only help you brush up on your concepts of Data Structures and Algorithms but will also hel
GfG 160 | Day- 38 | Search in a Row-wise and Column-wise Sorted | 160 Days Daily DSA Problem Solving,577 views,2 months ago,17,Welcome to the daily solving of our GfG 160 Problem of Day 38 with Yash Dwivedi. We will discuss the entire problem step-by-step and work towards developing an optimized solution. This will not only help you brush up on your concepts of Data Structures and Algorithms but will also hel
