title,views,date_time,video_link,thumbnail_link
Binary Trees Explained in 4 Minutes!,1.7K views,5 days ago,/watch?v=Um_sAan1LO4,https://i.ytimg.com/vi/Um_sAan1LO4/hqdefault.jpg
Dynamic Programming Explained in 6 Minutes,4.3K views,1 month ago,/watch?v=ByIhiLNbahY,https://i.ytimg.com/vi/ByIhiLNbahY/hqdefault.jpg
I went to IIT Delhi to meet Gate AIR 20 | Crack GATE with GeeksforGeeks!,1.8K views,1 month ago,/watch?v=ZSan8vrbWfw,https://i.ytimg.com/vi/ZSan8vrbWfw/hqdefault.jpg
Struggling with GATE? We can help boost your rank!,940 views,1 month ago,/watch?v=xgHQyBP9gDM,https://i.ytimg.com/vi/xgHQyBP9gDM/hqdefault.jpg
What do Software Engineers Really Do? | Are software engineering jobs really for you?,9.3K views,1 month ago,/watch?v=rg7B6QH7RZA,https://i.ytimg.com/vi/rg7B6QH7RZA/hqdefault.jpg
Get 55+ Marks Easily in GATE CS 2026 using this strategy,35K views,1 month ago,/watch?v=hc4_PWFFJnk,https://i.ytimg.com/vi/hc4_PWFFJnk/hqdefault.jpg
What is Machine Learning? | Lecture 1 | Free Video,3K views,1 month ago,/watch?v=1PtHLVsG_8s,https://i.ytimg.com/vi/1PtHLVsG_8s/hqdefault.jpg
A Day in the Life at IIT: Struggles & Successes 🎓 || Meet Apoorva GATE AIR 20,7K views,1 month ago,/watch?v=Ioj_XA-_jIY,https://i.ytimg.com/vi/Ioj_XA-_jIY/hqdefault.jpg
DSA was hard until i learned these 10 Patterns | Master DSA Now,15K views,1 month ago,/watch?v=aWjFPloGYmg,https://i.ytimg.com/vi/aWjFPloGYmg/hqdefault.jpg
You're missing out by not starting the Three 90 Challenge!,442K views,1 month ago,/watch?v=Tcmo0fSCAJQ,https://i.ytimg.com/vi/Tcmo0fSCAJQ/hqdefault.jpg
Which Programming Language should you learn in 2025 ? | *Free Resources Inside*,1.8K views,1 month ago,/watch?v=qduULN56XGk,https://i.ytimg.com/vi/qduULN56XGk/hqdefault.jpg
Your next 90 Days with Three 90 Challenge! | GeeksforGeeks,37K views,2 months ago,/watch?v=SKAfmFZrODc,https://i.ytimg.com/vi/SKAfmFZrODc/hqdefault.jpg
How to Crack Gate CSE Exam in Just 30 Days ? | Ultimate Roadmap | @GfG_GATE,1.4K views,2 months ago,/watch?v=p-ZRBDab5is,https://i.ytimg.com/vi/p-ZRBDab5is/hqdefault.jpg
Three 90 Challenge Winners | GeeksforGeeks,612 views,2 months ago,/watch?v=-tdb0AghaSU,https://i.ytimg.com/vi/-tdb0AghaSU/hqdefault.jpg
Three 90 Challenge Winners | GeeksforGeeks,570 views,2 months ago,/watch?v=LFxU2PSFMkQ,https://i.ytimg.com/vi/LFxU2PSFMkQ/hqdefault.jpg
Three 90 Challenge by GeeksforGeeks | Commonly Asked Questions | FAQs,790 views,2 months ago,/watch?v=sb3a4JmUVPc,https://i.ytimg.com/vi/sb3a4JmUVPc/hqdefault.jpg
Three 90 Challenge Winners | GeeksforGeeks,1.1K views,2 months ago,/watch?v=rxDSGn5OA7c,https://i.ytimg.com/vi/rxDSGn5OA7c/hqdefault.jpg
Three 90 Challenge Winners | Real Stories | GeeksforGeeks,3.2K views,2 months ago,/watch?v=9-EHruhI6g0,https://i.ytimg.com/vi/9-EHruhI6g0/hqdefault.jpg
Ready to take on the challenge? | 90% Refund Challenge by GeeksforGeeks,193K views,2 months ago,/watch?v=B05KjM_OLTA,https://i.ytimg.com/vi/B05KjM_OLTA/hqdefault.jpg
"I went to the House of a Microsoft Software Engineer | Resume Revealed |SDE Roadmap, Salary, Perks",5.2K views,2 months ago,/watch?v=nQ-dpHJPS2c,https://i.ytimg.com/vi/nQ-dpHJPS2c/hqdefault.jpg
The Only Cyber Security Roadmap you need for 2025 |,9.9K views,2 months ago,/watch?v=0CMNIpd-s_c,https://i.ytimg.com/vi/0CMNIpd-s_c/hqdefault.jpg
GeeksforGeeks is going to rock the world of Education with this move!,1.8K views,2 months ago,/watch?v=Na5zVw3g9So,https://i.ytimg.com/vi/Na5zVw3g9So/hqdefault.jpg
How to get a job in MAANG as a College Student ? | Tips and Hacks | Roadmap,5.2K views,2 months ago,/watch?v=dE-MlQnCT78,https://i.ytimg.com/vi/dE-MlQnCT78/hqdefault.jpg
Get your Dream Internship in the First Year of College | Step by Step Guide,1K views,2 months ago,/watch?v=89A8dNvjLYw,https://i.ytimg.com/vi/89A8dNvjLYw/hqdefault.jpg
GfG Practice Channel Now Home to GfG 160 Challenge New Videos!,870 views,2 months ago,/watch?v=_l2tH4saDl4,https://i.ytimg.com/vi/_l2tH4saDl4/hqdefault.jpg
GfG 160 | Day- 42 | Pair with given sum - 2Sum | 160 Days Daily DSA Problem Solving | GeeksforGeeks,761 views,2 months ago,/watch?v=gkps-WFPHYI,https://i.ytimg.com/vi/gkps-WFPHYI/hqdefault.jpg
These 7 AI Projects will give you an UNFAIR Advantage  | Get Placed,1.3K views,2 months ago,/watch?v=cm1oKGS3mP4,https://i.ytimg.com/vi/cm1oKGS3mP4/hqdefault.jpg
GfG 160 | Day- 41 | Set Matrix Zeroes | 160 Days Daily DSA Problem Solving | GeeksforGeeks,582 views,2 months ago,/watch?v=rOcXfIP3vps,https://i.ytimg.com/vi/rOcXfIP3vps/hqdefault.jpg
GfG 160 | Day- 40 | Search in a Sorted Matrix | 160 Days Daily DSA Problem Solving | GeeksforGeeks,591 views,2 months ago,/watch?v=maEcp5OXLgg,https://i.ytimg.com/vi/maEcp5OXLgg/hqdefault.jpg
FREE GATE Test Series 2025 by GeeksforGeeks,2.9K views,2 months ago,/watch?v=au6Ui7tnPxI,https://i.ytimg.com/vi/au6Ui7tnPxI/hqdefault.jpg
GfG 160 | Day- 39 | Search in a row-wise sorted | 160 Days Daily DSA Problem Solving | GeeksforGeeks,530 views,2 months ago,/watch?v=ln6LYCHeris,https://i.ytimg.com/vi/ln6LYCHeris/hqdefault.jpg
GfG 160 | Day- 38 | Search in a Row-wise and Column-wise Sorted | 160 Days Daily DSA Problem Solving,576 views,2 months ago,/watch?v=aZdTzG-OmLU,https://i.ytimg.com/vi/aZdTzG-OmLU/hqdefault.jpg
GfG 160 | Day- 37 | Rotate Matrix | 160 Days Daily DSA Problem Solving | GeeksforGeeks,620 views,2 months ago,/watch?v=RUQF765u8CY,https://i.ytimg.com/vi/RUQF765u8CY/hqdefault.jpg
GfG 160 | Day- 36 | Spiral Traversal | 160 Days Daily DSA Problem Solving | GeeksforGeeks,597 views,2 months ago,/watch?v=vI67TeaN6bg,https://i.ytimg.com/vi/vI67TeaN6bg/hqdefault.jpg
Fastest way to become a AI Engineer in 2025 | *Free Resources Inside*,1.9K views,2 months ago,/watch?v=kAiqXF3TyVg,https://i.ytimg.com/vi/kAiqXF3TyVg/hqdefault.jpg
GfG 160 | Day- 35 | Kth Missing Positive Number | 160 Days Daily DSA Problem Solving | GeeksforGeeks,651 views,2 months ago,/watch?v=Z2UNcqPXOPc,https://i.ytimg.com/vi/Z2UNcqPXOPc/hqdefault.jpg
GeeksforGeeks Classes- Now in Hyderabad!,222K views,2 months ago,/watch?v=fvPrYPgDONY,https://i.ytimg.com/vi/fvPrYPgDONY/hqdefault.jpg
GfG 160 | Day- 34 | Allocate Minimum Pages | 160 Days Daily DSA Problem Solving | GeeksforGeeks,605 views,2 months ago,/watch?v=POVcprzEWq4,https://i.ytimg.com/vi/POVcprzEWq4/hqdefault.jpg
GfG 160 | Day- 33 | Aggressive Cows | 160 Days Daily DSA Problem Solving | GeeksforGeeks,664 views,2 months ago,/watch?v=xUBzyf-EixQ,https://i.ytimg.com/vi/xUBzyf-EixQ/hqdefault.jpg
GfG 160 | Day- 32 | K-th Element of Merged Two Sorted Arrays | 160 Days Daily DSA Problem Solving,720 views,2 months ago,/watch?v=xgXJ0t_B_24,https://i.ytimg.com/vi/xgXJ0t_B_24/hqdefault.jpg
GfG 160 | Day- 31 | Peak Element | 160 Days Daily DSA Problem Solving | GeeksforGeeks,613 views,2 months ago,/watch?v=AqV-_bIyH30,https://i.ytimg.com/vi/AqV-_bIyH30/hqdefault.jpg
GfG 160 | Day- 30 | Search in a Sorted and Rotated Array | 160 Days Daily DSA Problem Solving | GfG,688 views,2 months ago,/watch?v=tCZb576NK7k,https://i.ytimg.com/vi/tCZb576NK7k/hqdefault.jpg
GfG 160 | Day- 29 | Minimum in a Sorted and Rotated Array | 160 Days Daily DSA Problem Solving | GfG,612 views,2 months ago,/watch?v=EtX8zY-DPdE,https://i.ytimg.com/vi/EtX8zY-DPdE/hqdefault.jpg
GfG 160 | Day- 28 | Count Occurrences in a Sorted Array | 160 Days Daily DSA Problem Solving | GfG,587 views,2 months ago,/watch?v=CofV2PsroxI,https://i.ytimg.com/vi/CofV2PsroxI/hqdefault.jpg
GfG 160 | Day- 27 | Merge Two Sorted Arrays Without Extra Space | 160 Days Daily DSA Problem Solving,712 views,2 months ago,/watch?v=CtmkAKGVI10,https://i.ytimg.com/vi/CtmkAKGVI10/hqdefault.jpg
GfG 160 | Day- 26 | Non-overlapping Intervals | 160 Days Daily DSA Problem Solving | GeeksforGeeks,909 views,2 months ago,/watch?v=-45THxt4sE8,https://i.ytimg.com/vi/-45THxt4sE8/hqdefault.jpg
GfG 160 | Day- 25 | Insert and Merge Interval | 160 Days Daily DSA Problem Solving | GeeksforGeeks,614 views,3 months ago,/watch?v=9pN0jPYvJcM,https://i.ytimg.com/vi/9pN0jPYvJcM/hqdefault.jpg
